ZIPCode	NTAName
11206	Bedford
11206	Bedford
11206	Stuyvesant Heights
11206	Bushwick South
11206	Bedford
11206	Bushwick South
11206	East Williamsburg
11206	Bushwick South
11206	East Williamsburg
11206	Bedford
11206	Bedford
11206	Bedford
11206	Stuyvesant Heights
11206	Stuyvesant Heights
11206	East Williamsburg
11206	Bedford
11206	Bedford
11206	Bushwick South
11206	East Williamsburg
11206	East Williamsburg
11206	East Williamsburg
11206	East Williamsburg
10030	Central Harlem North-Polo Grounds
10037	Central Harlem North-Polo Grounds
10030	Central Harlem North-Polo Grounds
10030	Central Harlem North-Polo Grounds
10030	Central Harlem North-Polo Grounds
10037	Central Harlem North-Polo Grounds
10030	Central Harlem North-Polo Grounds
10037	Central Harlem North-Polo Grounds
10037	Central Harlem North-Polo Grounds
10030	Central Harlem North-Polo Grounds
10037	Central Harlem North-Polo Grounds
10037	Central Harlem North-Polo Grounds
10030	Central Harlem North-Polo Grounds
10030	Central Harlem North-Polo Grounds
10037	Central Harlem North-Polo Grounds
10037	Central Harlem North-Polo Grounds
10037	Central Harlem North-Polo Grounds
10030	Central Harlem North-Polo Grounds
10030	Central Harlem North-Polo Grounds
10030	Central Harlem North-Polo Grounds
10030	Central Harlem North-Polo Grounds
10037	Central Harlem North-Polo Grounds
10453	Mount Hope
10453	Mount Hope
10453	University Heights-Morris Heights
10453	University Heights-Morris Heights
10453	Mount Hope
10453	University Heights-Morris Heights
10453	Mount Hope
10453	Mount Hope
10453	Fordham South
10453	University Heights-Morris Heights
10453	University Heights-Morris Heights
10453	Fordham South
10453	University Heights-Morris Heights
10453	University Heights-Morris Heights
10453	University Heights-Morris Heights
10453	Mount Hope
10453	University Heights-Morris Heights
10453	Mount Hope
10453	Fordham South
10453	Mount Hope
10453	Fordham South
10453	University Heights-Morris Heights
10453	Mount Hope
10453	University Heights-Morris Heights
10453	University Heights-Morris Heights
10453	Mount Hope
10453	Mount Hope
10453	University Heights-Morris Heights
10453	University Heights-Morris Heights
10453	Fordham South
10458	Belmont
10460	Crotona Park East
10460	East Tremont
10460	East Tremont
10460	East Tremont
10460	East Tremont
10460	East Tremont
10458	Bedford Park-Fordham North
10460	East Tremont
10459	Crotona Park East
10459	Hunts Point
10460	East Tremont
10459	Hunts Point
10458	Belmont
10458	Belmont
10458	Belmont
10458	Belmont
10458	Claremont-Bathgate
10460	Crotona Park East
10458	Bedford Park-Fordham North
10460	Crotona Park East
10458	Bedford Park-Fordham North
10460	East Tremont
10458	Claremont-Bathgate
10458	Bedford Park-Fordham North
10458	Bedford Park-Fordham North
10460	East Tremont
10458	Belmont
10458	Belmont
10458	Belmont
10458	Belmont
10458	Belmont
10460	Belmont
10458	Claremont-Bathgate
10460	East Tremont
10460	Crotona Park East
10460	East Tremont
10460	Crotona Park East
10460	East Tremont
10458	Belmont
10458	Belmont
10458	Crotona Park East
10458	Claremont-Bathgate
10458	Bedford Park-Fordham North
10459	Morrisania-Melrose
10455	Longwood
10459	Longwood
10459	Crotona Park East
10459	Longwood
10459	Hunts Point
10459	Crotona Park East
10459	Longwood
10459	Hunts Point
10459	Longwood
10455	Longwood
10459	Longwood
10459	Longwood
10459	Longwood
10459	Morrisania-Melrose
10455	Longwood
10455	Mott Haven-Port Morris
10459	Longwood
10474	Hunts Point
10459	Melrose South-Mott Haven North
10459	Hunts Point
10455	Melrose South-Mott Haven North
10455	Mott Haven-Port Morris
10459	Hunts Point
10459	Longwood
10455	Melrose South-Mott Haven North
10459	Longwood
11208	Cypress Hills-City Line
11208	East New York
11208	Cypress Hills-City Line
11208	Cypress Hills-City Line
11208	Cypress Hills-City Line
11208	East New York
11208	East New York
11208	Cypress Hills-City Line
11208	Cypress Hills-City Line
11208	East New York
11208	East New York
11208	Cypress Hills-City Line
11208	Cypress Hills-City Line
11208	East New York
11208	East New York
11208	Cypress Hills-City Line
11208	East New York
11208	East New York
11208	Cypress Hills-City Line
11208	Cypress Hills-City Line
11208	East New York
10457	Mount Hope
10457	Mount Hope
10457	Mount Hope
10457	Claremont-Bathgate
10457	Mount Hope
10457	Mount Hope
10457	Mount Hope
10457	Fordham South
10457	Mount Hope
10457	Claremont-Bathgate
10457	Claremont-Bathgate
10457	Claremont-Bathgate
10457	Mount Hope
10457	East Tremont
10457	Claremont-Bathgate
10457	Mount Hope
10457	East Tremont
10457	East Tremont
10457	Mount Hope
11207	East New York
11207	Cypress Hills-City Line
11207	Cypress Hills-City Line
11207	East New York
11207	Cypress Hills-City Line
11207	Bushwick North
11207	Bushwick South
11207	Cypress Hills-City Line
11207	Cypress Hills-City Line
11207	Cypress Hills-City Line
10029	East Harlem North
10029	East Harlem North
10029	East Harlem North
10029	East Harlem North
10029	East Harlem North
10029	East Harlem South
10029	East Harlem South
10029	East Harlem South
10029	East Harlem South
10029	East Harlem South
10029	East Harlem South
10029	East Harlem South
10029	East Harlem South
10029	East Harlem North
10029	East Harlem South
10029	East Harlem North
10029	East Harlem South
10029	East Harlem South
10029	East Harlem North
10029	East Harlem South
10456	Morrisania-Melrose
10456	Morrisania-Melrose
10456	Claremont-Bathgate
10456	Melrose South-Mott Haven North
10456	East Concourse-Concourse Village
10456	East Concourse-Concourse Village
10456	Claremont-Bathgate
10456	Claremont-Bathgate
10456	Claremont-Bathgate
10456	East Concourse-Concourse Village
10456	East Concourse-Concourse Village
10456	East Concourse-Concourse Village
10456	Morrisania-Melrose
11207	East New York
11207	East New York
11207	East New York
11207	East New York (Pennsylvania Ave)
11207	East New York
11207	East New York
11207	East New York
11207	East New York (Pennsylvania Ave)
11207	Ocean Hill
10035	East Harlem North
10035	East Harlem North
10035	East Harlem North
10035	East Harlem North
10035	East Harlem North
10035	East Harlem North
10035	East Harlem North
10035	East Harlem North
10035	East Harlem North
10035	East Harlem North
10035	East Harlem North
10035	East Harlem North
10457	East Tremont
10457	Mount Hope
10457	Fordham South
10457	Claremont-Bathgate
10457	Mount Hope
10457	Mount Hope
10457	East Tremont
10457	Mount Hope
10457	East Tremont
10457	East Tremont
10457	Mount Hope
10457	Mount Hope
10457	East Tremont
10457	Mount Hope
10457	Mount Hope
10457	East Tremont
10457	East Tremont
10457	Claremont-Bathgate
10457	East Tremont
10457	Fordham South
10457	East Tremont
10457	Claremont-Bathgate
10457	Mount Hope
10457	Mount Hope
10457	Mount Hope
10457	East Tremont
10457	Mount Hope
10457	Mount Hope
10457	Mount Hope
10457	Claremont-Bathgate
10457	Mount Hope
10457	Mount Hope
10457	Claremont-Bathgate
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Rugby-Remsen Village
11212	Brownsville
11212	Rugby-Remsen Village
11212	Rugby-Remsen Village
11212	Rugby-Remsen Village
11212	Rugby-Remsen Village
11212	Rugby-Remsen Village
11212	Rugby-Remsen Village
11212	Rugby-Remsen Village
11212	Rugby-Remsen Village
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Ocean Hill
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Ocean Hill
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Brownsville
11212	Ocean Hill
11212	Brownsville
11212	Brownsville
10029	East Harlem North
10029	East Harlem South
10029	East Harlem South
10029	East Harlem South
10029	East Harlem South
10029	East Harlem South
10029	East Harlem South
10029	East Harlem North
10029	East Harlem North
10029	East Harlem North
10029	East Harlem North
10029	East Harlem South
10029	East Harlem North
10029	East Harlem North
10029	East Harlem South
10029	East Harlem South
10029	East Harlem South
10029	East Harlem South
10029	East Harlem South
10029	East Harlem South
10029	East Harlem South
10029	East Harlem South
10029	East Harlem South
10029	East Harlem South
10029	East Harlem South
10029	East Harlem South
10029	East Harlem South
10029	East Harlem South
10029	East Harlem North
10029	East Harlem North
10029	East Harlem North
10029	East Harlem North
10029	East Harlem North
10029	East Harlem North
10029	East Harlem North
10029	East Harlem South
