Precinct Code,Address,NTACode
1,16 Ericsson Place,MN24
1,16 Ericsson Place,MN25
5,19 Elizabeth Street,MN27
6,233 West 10 Street,MN23
7,19 1/2 Pitt Street,MN28
9,321 East 5 Street,MN22
10,230 West 20th Street,MN13
13,230 East 21st Street,MN21
13,230 East 21st Street,MN50
14,357 West 35th Street,MN20
17,167 East 51st Street,MN19
18,306 West 54th Street,MN15
18,306 West 54th Street,MN17
19,153 East 67th Street,MN31
19,153 East 67th Street,MN32
19,153 East 67th Street,MN40
20,120 West 82nd Street,MN14
22,86th St & Transverse Road,
23,164 East 102nd Street,MN33
24,151 West 100th Street,MN12
25,120 East 119th Street,MN34
26,520 West 126th Street,MN06
26,520 West 126th Street,MN09
28,2271-89 8th Avenue,MN11
30,451 West 151st Street,MN04
32,250 West 135th Street,MN03
33,2207 Amsterdam Avenue,MN36
34,4295 Broadway,MN01
34,4295 Broadway,MN35
40,257 Alexander Avenue,BX34
40,257 Alexander Avenue,BX39
41,1035 Longwood Avenue,BX27
41,1035 Longwood Avenue,BX33
42,830 Washington Avenue,BX01
42,830 Washington Avenue,BX35
42,830 Washington Avenue,BX75
43,900 Fteley Avenue,BX08
43,900 Fteley Avenue,BX09
43,900 Fteley Avenue,BX46
43,900 Fteley Avenue,BX55
43,900 Fteley Avenue,BX59
44,2 East 169th Street,BX14
44,2 East 169th Street,BX26
44,2 East 169th Street,BX63
45,2877 Barkley Avenue,BX10
45,2877 Barkley Avenue,BX52
46,2120 Ryer Avenue,BX36
46,2120 Ryer Avenue,BX40
46,2120 Ryer Avenue,BX41
47,4111 Laconia Avenue,BX03
47,4111 Laconia Avenue,BX13
47,4111 Laconia Avenue,BX44
47,4111 Laconia Avenue,BX62
48,450 Cross Bronx Expressway,BX06
48,450 Cross Bronx Expressway,BX17
49,2121 Eastchester Road,BX07
49,2121 Eastchester Road,BX31
49,2121 Eastchester Road,BX37
49,2121 Eastchester Road,BX49
50,3450 Kingsbridge Avenue,BX22
50,3450 Kingsbridge Avenue,BX29
52,3016 Webster Avenue,BX05
52,3016 Webster Avenue,BX28
52,3016 Webster Avenue,BX30
52,3016 Webster Avenue,BX43
60,2951 West 8th Street,BK19
60,2951 West 8th Street,BK21
60,2951 West 8th Street,BK23
60,2951 West 8th Street,BK26
61,2575 Coney Island Avenue,BK17
61,2575 Coney Island Avenue,BK25
61,2575 Coney Island Avenue,BK44
62,1925 Bath Avenue,BK27
62,1925 Bath Avenue,BK28
62,1925 Bath Avenue,BK29
63,1844 Brooklyn Avenue,BK45
63,1844 Brooklyn Avenue,BK58
66,5822 16th Avenue,BK41
66,5822 16th Avenue,BK46
66,5822 16th Avenue,BK88
67,2820 Snyder Avenue,BK91
67,2820 Snyder Avenue,BK95
67,2820 Snyder Avenue,BK96
68,333 65th Street,BK30
68,333 65th Street,BK31
69,9720 Foster Avenue,BK50
70,154 Lawrence Avenue,BK42
70,154 Lawrence Avenue,BK43
71,421 Empire Boulevard,BK60
71,421 Empire Boulevard,BK63
72,830 4th Avenue,BK32
72,830 4th Avenue,BK34
72,830 4th Avenue,BK40
73,1470 East New York Avenue,BK79
73,1470 East New York Avenue,BK81
75,1000 Sutter Avenue,BK82
75,1000 Sutter Avenue,BK83
75,1000 Sutter Avenue,BK85
75,1000 Sutter Avenue,BK93
76,191 Union Street,BK33
77,127 Utica Avenue,BK61
78,65 6th Avenue,BK37
78,65 6th Avenue,BK64
79,263 Tompkins Avenue,BK75
81,30 Ralph Avenue,BK35
83,480 Knickerbocker Avenue,BK77
83,301 Gold Street,BK78
84,301 Gold Street,BK09
84,301 Gold Street,BK38
88,298 Classon Avenue,BK68
88,298 Classon Avenue,BK69
90,211 Union Avenue,BK72
90,211 Union Avenue,BK73
90,211 Union Avenue,BK90
94,100 Meserole Avenue,BK76
100,92-24 Rockaway Beach Boulevard,QN10
101,16-12 Mott Avenue,QN12
101,16-12 Mott Avenue,QN15
102,87-34 118th Street,QN53
102,87-34 118th Street,QN54
102,87-34 118th Street,QN60
103,168-02 P.O Edward Byrne Ave.,QN07
103,168-02 P.O Edward Byrne Ave.,QN61
104,64-2 Catalpa Avenue,QN19
104,64-2 Catalpa Avenue,QN20
104,64-2 Catalpa Avenue,QN21
104,64-2 Catalpa Avenue,QN30
105,92-08 222nd Street,QN03
105,92-08 222nd Street,QN05
105,92-08 222nd Street,QN33
105,92-08 222nd Street,QN34
105,92-08 222nd Street,QN43
105,92-08 222nd Street,QN44
105,92-08 222nd Street,QN66
106,103-53 101st Street,QN55
106,103-53 101st Street,QN56
106,103-53 101st Street,QN57
107,71-01 Parsons Boulevard,QN06
107,71-01 Parsons Boulevard,QN35
107,71-01 Parsons Boulevard,QN37
107,71-01 Parsons Boulevard,QN38
107,71-01 Parsons Boulevard,QN41
108,5-47 50th Avenue,QN31
108,5-47 50th Avenue,QN50
108,5-47 50th Avenue,QN63
109,37-05 Union Street,QN22
109,37-05 Union Street,QN23
109,37-05 Union Street,QN47
109,37-05 Union Street,QN49
109,37-05 Union Street,QN51
109,37-05 Union Street,QN52
109,37-05 Union Street,QN62
110,94-41 43rd Avenue,QN25
110,94-41 43rd Avenue,QN29
111,45-06 215th Street,QN42
111,45-06 215th Street,QN45
111,45-06 215th Street,QN46
111,45-06 215th Street,QN48
112,68-40 Austin Street,QN17
112,68-40 Austin Street,QN18
113,167-02 Baisley Boulevard,QN01
113,167-02 Baisley Boulevard,QN02
113,167-02 Baisley Boulevard,QN08
113,167-02 Baisley Boulevard,QN76
114,34-16 Astoria Boulevard,QN68
114,34-16 Astoria Boulevard,QN70
114,34-16 Astoria Boulevard,QN71
114,34-16 Astoria Boulevard,QN72
114,34-16 Astoria Boulevard,BX98
115,92-15 Northern Boulevard,QN26
115,92-15 Northern Boulevard,QN27
115,92-15 Northern Boulevard,QN28
120,78 Richmond Terrace,SI07
120,78 Richmond Terrace,SI08
120,78 Richmond Terrace,SI22
120,78 Richmond Terrace,SI35
120,78 Richmond Terrace,SI37
121,970 Richmond Avenue,SI05
121,970 Richmond Avenue,SI12
121,970 Richmond Avenue,SI28
121,970 Richmond Avenue,SI48
122,2320 Hylan Boulevard,SI14
122,2320 Hylan Boulevard,SI36
122,2320 Hylan Boulevard,SI45
122,2320 Hylan Boulevard,SI24
122,2320 Hylan Boulevard,SI25
122,2320 Hylan Boulevard,SI45
122,2320 Hylan Boulevard,SI54
122,2320 Hylan Boulevard,SI99
123,116 Main Street,SI01
123,116 Main Street,SI11
123,116 Main Street,SI32
